Kategori,Spørsmål,Svar
Film og TV,I hvilken film møter vi på en kattebuss med tolv ben?,Min Nabo Tottoro
,Hvor ligger Oslo Skatehall?,"Voldsløkka, Bjølsen, Sagene"
Mat og drikke,Hva slags drikk er Pedregosa?,"Musserende vin fra Spania, det holder med musserende vin, bobler"
Historie,Når var den foreløpig siste månelandingen (2023)?,1972
Språk,"Hva er en fjegg, eventuelt fjagg?","Mannlig kjæreste, partner (Eks. Landstrykeren er Fjaggen til Lady)"
Geografi,Hvilke er de fem største byene i verden etter innbyggertall?,"Tokyo, Delhi, Shanghai, Sao Paulo, Mexico City"
Geografi,I hvilket län eller fylke ligger Svinesund?,"Västra Götaland, godtar Bohuslän fordi jeg er så grei"
Kunst og design,I hvilken by finner du Pergamon-museet?,Berlin
Geografi,Hvilken var den siste staten som ble en del av USA?,Hawaii
,Hva er en Shuriken?,Kastestjerne
Kunst og design,Hva heter kunstbevegelsen som ble grunnlagt i 1962 som blant annet er tilknyttet John Cage og Yoko Ono?,Fluxus
"Religion, filosofi og livssyn",Hva heter tors hammer?,"Mjølner, Mjolnir"
Sport,"I hvilket land skulle Sommer-OL ha blitt avholdt i 2020, men på grunn av Covid ble det utsatt?",Japan
Teknologi,Hvilken bilprodusent har modellen Hilux?,Toyota
Språk,Hvor mange i verden har Spansk som morsmål?,477mill
Mat og drikke,"Hva er det franske ordet for grønnsaksblandingen som består av løk, gulrot og selleri?",Mirepoix
Kropp og medisin,Gin & Tonic ble funnet opp for å motvirke en sykdom. Hvilken sykdom skulle Gin & Tonic motvirke?,Malaria
Mat og drikke,Waldemar Thranes gate er en kjent gate på Gamle Aker og St. Hanshaugen. Hva drev Waldemar Thrane med?,"Waldemar Thrane var en norsk fiolinist, orkesterleder og komponist"
,Hvilken retning innen psykologien er Frederic Skinner og Ivan Pavlov kjent for?,"Behaviourismen, (Radikal Behaviourisme)"
Mat og drikke, Hvilket årtiende kom poteten til norge?,1800
Teknologi,Hvor mange bit er det i en byte?,8
Mat & drikke,Fra hvilket land kommer opprinnelig osten Halloumi?,Kypros
Kultur,Hva heter podkasten som Bjarte Tjøstheim og Tore og Steinar Sagen startet hos Schibsted etter å ha sluttet med Radioresepsjonen i NRK?,Papaya
Språk,"I Danmark betyr frokost noe annet enn det gjør i Norge. Hva mener en danske hvis hen sier ""frokost""?","Lunsj, formiddagsmat"
Kultur,Hvem har skrevet krimbøkene som har en hovedperson som heter Hercule Poirot?,Agatha Christie
Naturvitenskap,"I 2012 påviste LHC i CERN et elementærpartikkel, som året etter førte til en delt Nobelpris i fysikk. Hvilket partikkel?",Higgs-boson
Samfunn,Hvem bestemmer i et plutokrati?,De rike
Kultur,"Hva het skaperen av blant annet Spider Man, Hulken, X-Men og Iron Man?",Stan Lee
Historie,Hvilke tre partier fikk flest stemmer ved stortingsvalget i 1921?,"Høyre [sammen med frisinnede venstre], Arbeiderpartiet, Venstre."
Naturvitenskap," Jeg er ute etter et stoff som har e-nummer E300, og som også kalles Askorbinsyre ascorbic acid. Hva er det mer vanlige navnet på dette stoffet?",Vitamin C eller C-vitamin
Kultur,Hvilken kunstner er kjent for sine malerier av Solsikker?,Vincent Van Gogh
Historie,Utenfor kysten til hvilket land sank Titanic?,Canada
Samfunn,I hvor mange år var Angela Merkel Rikskansler i Tyskland?,16 år
Mat & drikke,"Hvis du sitter på en restaurant i Mexico og vil ha det vi ofte kaller ""salsa"", hva bør du da bestille? ","Pico de gallo, godtar også Salsa Bandera"
Religion,Hva er Rosh Hashanah?,Jødisk nyttår
Kultur,Hvilken kjent person ble opprinnelig døpt Norma Jeane?,Marilyn Monroe
Historie,Hva var kallenavnet til den italienske diktatoren Mussolini?,Il Duce
Naturvitenskap,Hvilket partikkel i et atom er positivt ladet?,Proton
Mat & drikke,"Hvilke ingredienser er det i den russiske drikken ""Yorsh""?",Øl og vodka
Kultur,"Hvilken artist lærte millioner av mennesker å stave til ""Bananas"" på midten av 2000-talley?",Gwen Stefani
Historie,Hvem var det første mennesket i verdensrommet?,Yuri Gargarin
Kultur,"Hvilken kunstner står bak aliaset ""R. Mutt"" som blant annet er signert på et pissoar?",Marcel Duchamp
Flora & Fauna,Hvilket er det største hjortedyret i verden?,Elg
Teknologi,Hva heter det svenske bilselskapet som gikk konkurs i 2016?,SAAB
Kultur,Hva heter hunden til Mikke Mus?,Pluto
Geografi,Hvilken er Europas lengste elv?,Volga
Kultur,Hvilket år ble Michael Jackson født?,1958
,Hvor mange stjerner er det i USA sitt flagg?,50
Samfunn,Hvilken app var det justisminister Emilie Enger Mehl fikk kritikk for å ha installert på tjenestetelefonen sin på begynnelsen av 2020-tallet?,TikTok
,Hvem er teddybjørnen oppkalt etter?,Theodore Roosevelt
Kultur,"Hvilken film med Robin Williams har en berømt scene der diktet ""O Captain! My Captain"" fremføres? Og hvem har skrevet diktet?","Dead Poets Society, Walt Whitman"
,"Hvilken butikkjede startet med PR-stuntet ""prislås"" under inflasjonskrisen i 2023?",KIWI
,Hva slags saus brukes på en Eggs Benedict?,Hollandaise
,"Februar er en spesiell måned i USA der man siden 1970 har spesiell fokus på en viss ting. En liknende greie finnes siden 1989 i Storbritannia og Irland, men der er den lagt til oktober. Hva kalles denne måneden?",black history month/african-american history month
Religion,Hvilken av verdensreligionene er yngst?,Islam
,"Hvilket bilmerke står bak modeller som Zafira, Mokka og Grandland?",Opel
Historie,"Hva er Jean Baptiste Bernadotte, født 1763, mer kjent som i Norge?",Karl (III) Johan
,"vrundet til nærmeste minutt, hvor lang tid tar det før lyset fra solen treffer jorden?",8min
Kultur,Hvem spilte jokeren i filmen Batman fra 1989?,Jack Nicholson
,Hvilken musikkartist heter Aubrey Graham til for og etternavn?,Drake
,Hva heter landet som er helt omsluttet av Sør Afrika?,Lesotho
,Hva ble fjellet Denali kalt før?,(Mount) McKinley
,"Hva heter filmen der Oprah Winfrey spilte karakteren ""Sofia""?",The Color Purple
,"Hvilken utbredt drink-ingrediens, som ofte kommer i en søt liten flaske, produseres i Trinidad og Tobago?",Angostura
,Hva slags vesen er Chewbacca i Star Wars?,Wookiee
,Hvilke var de mest vanlige navnene på jentebarn i 2022?,"Nora/Norah/Noora, Emma, Olivia"
,Hvilke var de mest vanlige navnene på guttebarn i 2022?,"Jakob/Jacob, Noah/Noa, Emil/Lucas/Lukas"
,Hva heter den første syntetiske plasten som ble oppfunnet av Leo Baekeland?,Bakelitt/Bakelite
,"OpenAI lager den nå velkjente chatroboten ChatGPT, men hva heter bildegeneratoren som som OpenAI også står bak?",Dall-E
,Hva heter skolen i Harry Potter?,Galtvort/Hogwarts
,I hvilken delstat i USA ligger New Orleans?,Louisiana
,Hvem var den første kvinnelige vinneren av nobelprisen i naturvitenskap?,Marie Curie
,"Hva er Nori, som blant annet brukes i sushi?",Tang
,Hva er araknofobi?,Irrasjonell frykt for edderkopper
,Ett år Torbjørn Jagland var Statsminister i Norge?,1996-1997
,"Hun heter Denise til mellomnavn, hun har spilt i Transformers, hun har hatt et forhold til en som heter Colson Baker. Hvem snakker jeg om?",Meghan Fox
,Hvem skrev de greske eposene Iliaden og Odysseen?,Homer
,I hvilket land dyrkes det mest mais?,USA
,Hvilket år ble det tillatt for to mennesker av samme kjønn å gifte seg i Norge?,2009
,Fra hvilket land kommer ølmerket Beck's?,Tyskland
,Hva var det som ble utviklet i det såkalte Manhattan-prosjektet?,Atombomben
,"Hva heter det britiske matvareproduktet som har slagordet ""love it or hate it""?",Marmite
,Hvor mange tangenter er det på et vanlig piano?,88
,Hvor mange tangenter på et vanlig piano er sorte?,36
,Hva er hovedingrediensen i hummus?,Kikerter
,Hvilken filosof forbindes med hulelignelsen?,Platon
,Hvilken film fra 1993 handler om et jamaicansk olympisk bob-lag?,Kalde Rumper/Cool Runnings
,Hva heter han som ledet Kåss til kvelds sammen med Else Kåss Furuset?,Markus Neby
,Til hvilken by tilhører flyplassen Tegel?,Berlin
,Hvilken karakter i Star Wars kan snakke over seks millioner språk flytende?,C3PO
,Hvilket land grenser til både Tunisia og Marokko?,Algerie
,Hva er deuteranopi eller deuteranomali?,En form for fargeblindhet
,Hvilken produsent av høyttalere har en logo som er helt lik selv om du snur den opp/ned?,Sonos
,Fra hvilket land løsrev seg Bangladesh i 1971? ,Pakistan
,Hvilket tegn en ampersand?,&
,"Hvilken type frukt finnes i varianten Kaffir, der også bladene fra treet ofte brukes?","Det er en type lime, godtar sitrusfrukt"
,Hvor lang er en runde i vanlig boksing?,3 minutter
,Hva het New York før engelskmennene omdøpte det til New York?,New Amsterdam
,"Italienerne kaller ham for Topolino, hva heter han på norsk?","Mikke Mus, Mickey Mouse"
,Hva heter enken til John Lennon?,Yoko Ono
,"It's fun to be at the YMCA, men hva står YMCA for?",Young Men's Christian Association
,"Innen elektrisitet finnes det noe som er betegnet som ""AC"" og ""DC"". Hva betyr AC og DC?","AC: Vekselstrøm, DC: Likestrøm"
,Hvilket land opplevde på midten av 1800-tallet en sultkatastrofe som følge av potetmangel?,Irland
,Hvilken Monty Python-film ble forbudt i Norge?,Life of Brian
,Hvor ble klimatoppmøtet i 2021 avholdt?,Glascow
,Hva var navnet på klimatoppmøtet i 2021?,COP26
,På hva slags sted den første YouTube-video spilt inn?,I en dyrepark
,Hvilken Ph-verdi har helt rent vann?,7
,"Hva heter fjellkjeden som går på langs av hele Norge, fra Agder til Finnmark?","Nordryggen, den skandinaviske fjellkjede eller Scandes"
,Hvor mange stjerner er det på det New Zealandske flagget?,4
,Hvor er Bailly-krateret?,På månen
,"Bruning av spesielt kjøtt medfører en helt spesiell smakseffekt. Hva kalles denne effekten, oppkalt etter en fransk kjemiker?",Maillard-effekten
,"rtisten Cat Stevens byttet navn i 1977, hva byttet han til?",Yusuf Islam
,En russik vitenskapsmann brukte hunder til å studere det vi i dag kaller Klassisk Betinging?,(Ivan) Pavlov
,"Youtuberen Mr. Beast hadde en kampanje i 2019 som het ""Team Trees"", i 2021 startet han en ny kampanje, som blant annet Alan Walker har støttet med et stort beløp. Hva het den? ",(Team Seas)
,Hvilke land inngår i G7 (2021)?,"Canada, Frankrike, Italia, Japan, Storbritannia, Tyskland og USA."
,Hva heter den muslimske folkegruppen som blir brutalt forfulgt i Kina?,Uigur
,I hvilke to amerikanske delstater ligger primært Ozark-fjellene?,"Missouri, Arkansas"
,Hva er det kjemiske tegnet for jern i det periodiske system?,Fe
,Hvilke tre byer er de største i Afrika (innbyggertall)?,"Kinshasa, Lagos, Kairo"
,Hva er verdens største ikke-polare ørken?,Sahara
,Hva kalles de som velger paven?,Kardinaler
,Hva er det hardeste stoffet i menneskekroppen?,Tannemaljen
,Hva kaller man et ord som skrives likt forlengs og baklengs?,Palindrom
,I hvilken by ble 2022-års Eurovision Song Contest?,Torino
,"Nettadresser starter som regel med HTTPS, hva står HTTPS for?",Hyper text transfer protocol secure
,Hva kalles sminke som er oppkalt etter fargen rød på fransk?,Rouge
,"Hva heter radioprogrammet som før gikk på P3, nå går på P13, med to brødre fra Oslo, og en fyr fra Randaberg.",Radioresepsjonen
,"I hvilket land var det seneste statskuppet i Vesteuropa, som fant sted den 25 April 1974?",Portugal
,Ca. hvor stor andel av befolkningen har migrene?,10 %
,Hvor i kroppen sitter Hippocampus?,I hjernen
,R. L. Stine skrev fra 1992 en serie på 62 skumle bøker for barn og unge. Hva heter bokserien?,Grøsserne
,Moderne biler har en bremseteknologi som gjør at hjulene ikke låses helt når man bråbremser eller bremser et glatt underlag. Hva heter denne teknologien?,ABS
,I mars 2020 ble en viss type munnbind mangelvare i verden. Munnbindet har sitt navn fra at det filtrerer bort 95 % av luftbårne partikler. Hva heter dette munnbindet? ,N95
,Hvor mange milliliter er det i en britisk pint?,568ml
,Hvilke tre bedrifter ansetter flest mennesker i Norge 2020?,"Hydro, Equinor, Telenor"
,Hvilket politisk parti er den irske militærorganisasjonen IRA tilknyttet?,Sinn Fein
,Hva heter teknologien bak kryptovaluta?,Block chain
,Hva heter kongen av Sverige (2023)?,"Carl 16 eller XVI Gustav, hvis du har med Folke Hubertus får du ekstra creds, men ikke ekstra poeng."
,"Tine lanserte i 2005 en drikk som het ""Dus"" som ble trukket året etter. Hva var de to ingrediensene i denne drikken?",Juice og melk
,Fra hvilken delstat i USA kommer Jack Daniels?,Tennesse
,Hvilke land grenser til Tyskland?,"Polen, Tjekkia, Østerrike, Luxembourg, Sveits, Frankrike, Belgia, Nederland, Danmark"
,"I amerikansk fotball har man noe som heter ""Touchdown"". Hva heter tilsvarende i Rugby?",Try
,"I Sverige må man være 20 år for å handle alkohol over 3,5 % over disk. Hva heter ølet som 18-åringer kan kjøpe i butikken i Sverige, som er 3,5 %?",Folköl
,"Hvilken by i Norge kalles ""Rosenes by""?",Molde
,Hvem var finansminister i Norge i 2020?,Jan Tore Sanner
,Hvilke var de tre faste medlemmene i Nytt på Nytt i 2022?,"Pernille Sørensen, Johan Golden, Bård Tufte Johansen"
," Hvilken film kom ut først til sist (ranger) - 8 Mile, The Matrix, Titanic","(Titanic, The Matrix, 8 mile)"
,Hva er en forkortelse for fugleinfluensaviruset på fire tegn? ,H5N1
,"Hva er en ""Flat White""?","Kaffe med melk, noe a-la Cafe Latte"
,Hvilket år brant ferjen Scandinavian Star?,1990
,"Hvem har låter som ""Utedassen"", ""Hansbu"", ""Bondeblade"", og ""Sallarbu""?",Lothepus eller Leif Einar Lothe
,Hvilken kunstretning tilhørte Edvard Munch?,Ekspresjonisme
,Hvor mange bor det på Svalbard (2020)?,2417
,"Hydrogen er det første grunnstoffet i det periodiske system, hva er de to neste?","Helium, Lithium"
,Hva slags fisk kan du ofte finne i en vanlig Cæsar salat?,Ansjos
,Hva er astigmatisme?,Skjeve hornhinner
,Hva ligger lengst sør: Uruguay eller Paraguay?,Uruguay
,Hva var navnet på karakteren som Miley Cyrus spilte på Disney channel? ,Hanna Montana
,"Hva er det høyeste punktet i Oslo fylke, og hvor høyt er det?","Kjerkeberget, 630m"
,"Hvilket skuespill er kjent for linjen ""noe er råttent i det danske rike""?",Hamlet
,"Hva heter det når man bruker fingrene til å spille på et strenginstrument som f.eks. fiolin, i stedet for å bruke buen?",Pizzicato
,Hvem ble årets spellemann 2019?,Sigrid
,Hvilke tre bilmerker solgte flest biler i Norge i 2019?,"Volkswagen, Tesla, Toyota"
,Når ble Hawaii en delstat i USA?,1959
,Mona Lisa er et kunstverk som også har et annet navn på italiensk. Hva er det andre navnet?,La Gioconda
,Hva heter et diagram som består av to eller flere overlappende sirkler?,Venn-diagram
,Hva heter den smarte broren til Sherlock Holmes?,Mycroft
,Hva er pyrofobi?,Irrasjonell frykt for ild
,På hvilket kontinent finner vi Guinea-Bissau?,Afrika
,Hvilken Martin Scorsese-film fra 2019 handler om mafiakrigene på 60- og 70-tallet?,the Irishman
,"Innen kunstmaling, hvilke farger er Karmosin (Crimson), Indigo og Titan?","Rød, Blå (Blåfiolett), Hvit"
,Hva heter hovedstaden på Færøyene?,Torshavn
,"Hvilket materiale er Opera-fasaden til Den Norske Opera og Balett laget av, i tillegg til glass?",(Italiensk) Marmor
,"Hva heter Norges foreløpig dyreste gate, som går i gjennom Barcode-distriktet (2022)?",Dronning Eufemias Gate
,Hva er ei kjenge?,"Drikkekar for øl, krus, kopp"
,Hva heter mannen som i 2012 slo rekord da han hoppet i fallskjerm fra 128 000 fot?,Felix Baumgartner
,"Hvilken farge skal man unngå å ha på seg som gjest i et bryllup, som opprinnelig var en farge som signaliserte at man hadde ligget med brudgommen",Rød
,I hvilket land skjedde Fløyelsrevolusjonen i 1989?,Tjekkoslovakia
,"Hvilket land i verden er det eneste som har delt hovedstaden i 3 byer, og hvilke 3 byer er det?","Sør-Afrika - Cape Town, Pretoria, Bloemfontein"
,Hva heter hovedflyplassen i Barcelona?,El Prat eller El Prat de Llobregat Aeropuerto
,I 2012 byttet rapperen Snoop Dogg navn. Hva byttet han navn til?,Snoop Lion
,"Politiet ble innblandet i #metoo i 2020, på grunn av en ukedag som hadde et spesielt navn. Hva var det de kalte denne dagen internt i politiet?",Knulletorsdag
,Hva kaller man en som kommer fra Jemen?,Jemenitt
,"Hva het forløperen til internett, som faktisk lille Norge også var koblet opp mot frem til 1990? ",Arpanet
,Fra hvilken plante lager man Tequila?,(Blå) Agave
,Hvilke to T-banelinjer har endestasjon på Vestli (2020)?,4 og 5
,Hvilken artist heter egentlig Austin Richard Post?,Post Malone
,Hvem var det Will Smith slo i fjeset under oscargallaen 2022?,Chris Rock
,Hva er norges nasjonalmotto?,Alt for Norge (Kong Harald) eller Enige og tro inntil Dovre faller
,Hvilken kunstretning ble skapt av Pablo Picasso og Georges Braque?,Kubismen
,"Hvilken merkevare står bak slagordet ""The Best a Man Can Get?",Gilette
,"Hvilet ord i jussen betyr ""et annet sted""?",Alibi
,I hvilken by holder Spider Man til?,New York
,Fra hvilket tre kommer løvet som er avbildet på de kanadiske flagget?,Lønn
,Hvilken er Canadas største by?,Toronto
,Hva heter den minste provinsen i Canada?,Prince Edward Island
,"Hvilket vitamin mangler du hvis du får ""skjørbuk""?",C-vitamin
,Hva er en Spinnaker?,En type seil
,Hva heter det to ravnene til Odin?,"Hugin, Munin"
,Hvilket år brøt svineinfluensapandemien ut?,2009
,"Hva er den fjerde aggregattilstanden? [Fast stoff, væske, gass]",Plasma
,Fra hvilket dyr får vi kasjmir?,Geit
,I hvilken by ligger hovedkvarteret til Apple?,Cupertino
,I hvilken by åpnet den aller første T-banen?,London
,Hva heter skalaen som brukes til å måle hvor sterk en chili er?,Scoville
,Hva heter satelitt-bredbåndet til Elon Musk?,Starlink
,"Hva heter kunstneren bak pissoaret som ble utstilt som et kunstverk med tittelen ""Fountain"" i 1917?",Marcel Duchamp
,"Hvilket bilmerke står bak ""undermerket"" Cupra?",SEAT
,Momofuku Ando er kjent for å ha funnet opp noe. Hva?,Hurtignudler
,I hvilken by kan du besøke Battery Park?,New York
,Hvilken er verdens største maskin [I areal]?,LHC (Large Hadron Collider)
,Hvilken skala brukes vanligvis for å måle styrken på et jordskjelv?,Richters skala
,Hvem var det som innførte første mai som merkedag i Norge?,Vidkun Quisling
,I 2022 tilsto en kjent norsk artist å ha stjålet designmøbler for flere hundre tusen korner. Hvilken artist?,Cezinando
,Hvilket instrument er artisten Miles Davis mest kjent for å ha spilt? ,Trompet
,Hva het lederen av det kambodsjanske partiet Røde Khmer?,Pol Pot
,"Når aksje markedet går henholdvis bra og dårlig, bruker man to dyr for å beskrive om det går bra eller dårlig. Hvilke to dyr?","Okse [Bull], Bjørn [Bear]"
,Hvilket produksjonsselskap står bak tegneseriefiguren Snurre Sprett [Bugs Bunny]?,Warner Bros.
,"Hva kaller vi ofte ""Stella Polaris"" på folkemunne?","Polstjernen, Nordstjernen"
,"Hva betyr det greske ordet ""Hippo""?",Hest
,"Elektrisk ål finnes bare naturlig på ett kontinent i verden, hvilket?",Sør-Amerika
,Hva heter hovedstaden i Somalia?,Mogadishu
,"Hvilken filosof står bak ""hulelignelsen""?",Platon
,Hvilken er verdens største fisk?,Hvalhai
,"Pandora var i følge gresk mytologi den første kvinnen, og ble sendt til jorden som straff fordi Prometevs hadde stjålet noe av Zeus. Hva var det som ble stjålet fra Zeus?",Ilden
,Hvilket år ble John Lennon drept?,1980
,Hva het han som drepte John Lennon?,Mark David Chapman
,"Skriv minst ett postnummer (""zip-code"") som tilhører Beverly Hills, Los Angeles?","90035,, 90211, 90212)90210"
," Hvilket dyr heter ""Gulo Gulo"" på latin og er det største dyret i Mårfamilien?",Jerv
,Hva heter de tre musketerer?,"Porthos, Aramis, Athos"
,Hvilken film fra 1997 fikk hele 11 Oscar-priser?,Titanic
,Hvilken planet ligger nærmest solen?,Merkur
,Hvor mange grader må det minst være gjennom hele natten for at det skal være tropenatt?,20
,Hvor har du vondt hvis du har Lumbago?,Ryggen
,Hva het debutalbumet til Snoop Dogg/Snoop Doggy Dogg?,"""Doggystyle"", godtar også ""Over the counter"""
,"Hvem spiller en slags versjon av seg selv i 2022-filmen ""The Unbearable Weight of Massive Talent""?",Nicholas Cage
,"Hvilke to ingredienser er det i drinken ""Black Velvet""?","Stout/Guinness, Champagne"
,"Hvem har skrevet ""The Great Gatsby"" [Den store Gatsby]?",F. Scott Fitzgerald
,Hvilket land er det karakteren Borat liksom kommer fra?,Kasakstan
,"Det kalles ofte persisk, men kaller de som snakker persisk språket sitt?","Farsi, godtar også parsi, dari, og tadjiki"
,Hva heter traktaten som la grunnlaget for EU?,Maastricht-traktaten
,Hvilken farge har cabrioleten til Barbie?,Rosa
,"I tillegg til tre, hva er en annen vanlig ingrediens i papirproduksjon, spesielt i fancy papir?",Bomull
,"I hvilken bok, og film, følger vi båten ""Andrea Gail""?",The Perfect Storm
,Hva er Vexillologi?,Læren om flagg
,Det vi i dag kalle hashtag-tegnet ble før i tiden brukt til å beskrive en vektenhet. Hvilken enhet av vekt?,Pund
,"Hvis en amerikaner sier at hen skal ut og ""noodle"" [Noodle, Noodling] - hva mener hen da?",Fiske (malle med hendene)
,"Hvem spilte ""Svarte orm/Black Adder""?",Rowan Atkinson
,Hvor er det de norrøne gudene bor?,I Valhall
,Hva er et Nuremberg-egg?,Klokke
,Hvilken filosof er kjent for å ha fremmet ideen om at gud er død?,Friedrich Nietzsche
