Kategori,Spørsmål,Svar
Historie,Når var den foreløpig siste månelandingen (2023)?,1972
Språk,"Hva er en fjegg, eventuelt fjagg?","Mannlig kjæreste, partner (Eks. Landstrykeren er Fjaggen til Lady)"
Geografi,Hvilke er de fem største byene i verden etter innbyggertall?,"Tokyo, Delhi, Shanghai, Sao Paulo, Mexico City"
Geografi,I hvilket län eller fylke ligger Svinesund?,"Västra Götaland, godtar Bohuslän fordi jeg er så grei"
Kunst og design,I hvilken by finner du Pergamon-museet?,Berlin
Geografi,Hvilken var den siste staten som ble en del av USA?,Hawaii
,Hva er en Shuriken?,Kastestjerne
Kunst og design,Hva heter kunstbevegelsen som ble grunnlagt i 1962 som blant annet er tilknyttet John Cage og Yoko Ono?,Fluxus
"Religion, filosofi og livssyn",Hva heter tors hammer?,"Mjølner, Mjolnir"
Sport,"I hvilket land skulle Sommer-OL ha blitt avholdt i 2020, men på grunn av Covid ble det utsatt?",Japan
Teknologi,Hvilken bilprodusent har modellen Hilux?,Toyota
Språk,Hvor mange i verden har Spansk som morsmål?,477mill
Mat og drikke,"Hva er det franske ordet for grønnsaksblandingen som består av løk, gulrot og selleri?",Mirepoix
Kropp og medisin,Gin & Tonic ble funnet opp for å motvirke en sykdom. Hvilken sykdom skulle Gin & Tonic motvirke?,Malaria
Mat og drikke,Waldemar Thranes gate er en kjent gate på Gamle Aker og St. Hanshaugen. Hva drev Waldemar Thrane med?,"Waldemar Thrane var en norsk fiolinist, orkesterleder og komponist"
,Hvilken retning innen psykologien er Frederic Skinner og Ivan Pavlov kjent for?,"Behaviourismen, (Radikal Behaviourisme)"
Mat og drikke, Hvilket årtiende kom poteten til norge?,1800
Teknologi,Hvor mange bit er det i en byte?,8
,Fra hvilket land kommer opprinnelig osten Halloumi?,Kypros
,Hva heter podkasten som Bjarte Tjøstheim og Tore og Steinar Sagen startet hos Schibsted etter å ha sluttet med Radioresepsjonen i NRK?,Papaya
,"I Danmark betyr frokost noe annet enn det gjør i Norge. Hva mener en danske hvis hen sier ""frokost""?","Lunsj, formiddagsmat"
,Hvem har skrevet krimbøkene som har en hovedperson som heter Hercule Poirot?,Agatha Christie
,"I 2012 påviste LHC i CERN et elementærpartikkel, som året etter førte til en delt Nobelpris i fysikk. Hvilket partikkel?",Higgs-boson
,Hvem bestemmer i et plutokrati?,De rike
,"Hva het skaperen av blant annet Spider Man, Hulken, X-Men og Iron Man?",Stan Lee
,Hvilke tre partier fikk flest stemmer ved stortingsvalget i 1921?,"Høyre [sammen med frisinnede venstre], Arbeiderpartiet, Venstre."
," Jeg er ute etter et stoff som har e-nummer E300, og som også kalles Askorbinsyre ascorbic acid. Hva er det mer vanlige navnet på dette stoffet?",Vitamin C eller C-vitamin
,Hvilken kunstner er kjent for sine malerier av Solsikker?,Vincent Van Gogh
,Utenfor kysten til hvilket land sank Titanic?,Canada
,I hvor mange år var Angela Merkel Rikskansler i Tyskland?,16 år
,"Hvis du sitter på en restaurant i Mexico og vil ha det vi ofte kaller ""salsa"", hva bør du da bestille? ","Pico de gallo, godtar også Salsa Bandera"
,Hva er Rosh Hashanah?,Jødisk nyttår
,Hvilken kjent person ble opprinnelig døpt Norma Jeane?,Marilyn Monroe
,Hva var kallenavnet til den italienske diktatoren Mussolini?,Il Duce
,Hvilket partikkel i et atom er positivt ladet?,Proton
